1 0 10 -nan 0 -nan 0.00713651 100 0 -nan inf 0 -nan -nan 0 0 
41 0 6 0.0195348 4.63911 0.0574403 0 27.5238 0 0.20671 0.00019027 25.0444 0.0366155 0.0184939 0.266472 4.37264 
42 0 6 0.0263044 5.10493 0.111924 0 36.119 0 0.191518 0.00017267 30.7229 0.0282052 0.0260648 0.571363 4.53356 
43 0 6 0.0259684 5.22815 0.0956191 0 33.1895 0 0.221114 0.000154015 30.9182 0.022546 0.0263302 0.499911 4.72824 
44 0 6 0.0106273 5.15135 0.0865327 0 36.3883 0 0.108926 0.000109735 46.2966 0.0206969 0.00967338 0.44576 4.70559 
45 0 7 0.0217434 7.68974 0.0868545 0.00621751 58.5928 0 0.543062 0.000659621 62.0502 0.0247603 0.0214564 0.667888 7.02185 
46 0 10 0.0313291 9.29119 0.332256 0.00641147 55.6543 0 0.568498 0.0252044 57.0404 0.0320451 0.0309728 3.08706 6.20413 
47 0 10 0.0360169 9.06633 0.345197 0.0337865 50.1143 0 0.536596 0.133782 53.1605 0.0352023 0.0364464 3.12966 5.93666 
48 0 10 0.0470175 11.687 0.34894 0 60.0417 0 0.492161 0.000177993 74.0943 0.0388343 0.0514033 4.07807 7.60897 
49 0 10 0.0141667 11.3488 0.369489 0.0365557 55.4578 0 0.53645 0.0845217 56.0105 0.0137593 0.0144054 4.19327 7.15556 
50 0 10 0.0305288 14.5975 0.350608 0 63.1507 0 0.608552 9.72733e-05 103.836 0.0240803 0.0340104 5.11802 9.47952 
51 0 10 0.0387916 15.5562 0.352526 0.00733574 61.5107 0 0.409567 0.00569696 101.434 0.0418488 0.0371271 5.48396 10.0722 
52 0 10 0.0300238 22.9068 0.496638 0.044294 40.588 0 0.384108 0.141491 74.5771 0.0239463 0.03602 11.3764 11.5304 
53 1 10 0.0214836 10.5594 0.432503 0.000261401 24.7498 3.93347 0.408502 0.000467469 14.1564 0.0196376 0.0228906 4.56695 5.99241 
54 0 9 0.0332172 10.2091 0.50056 0 27.7977 0 0.443751 0.000119875 18.6438 0.0354523 0.0309772 5.11027 5.09884 
55 0 9 0.0306357 12.2334 0.494987 0.008346 25.0957 0 0.392285 0.0495102 10.9766 0.0293012 0.0319436 6.05536 6.17801 
56 0 9 0.0413399 12.2972 0.614552 0.00659099 23.0166 0 0.440017 0.0214438 11.7575 0.0375801 0.0473344 7.55729 4.73995 
57 0 9 0.0393384 14.2716 0.507096 0.00672363 19.7572 0 0.497154 0.0261552 6.81756 0.0338802 0.0449537 7.23705 7.0345 
58 1 9 0.0323013 10.3853 0.568242 0 18.4528 0.170079 0.50369 0.000169183 5.36732 0.0375838 0.0253489 5.90135 4.48393 
59 0 8 0.0190004 8.66868 0.520055 0 25.0152 0 0.468519 0.000179269 6.76156 0.0121535 0.0264194 4.50819 4.16049 
60 1 9 0.0118618 1.0011 0 0 27.0448 0 0.869238 7.90105e-05 17.3255 -nan 0.0118618 0 1.0011 
61 0 8 0.0384919 2.24232 0.570936 0.0138312 26.0122 0 0.790142 0.000319449 23.0049 0.0346737 0.0435725 1.28022 0.962098 
62 0 8 0.0425165 2.61386 0.581295 0.0201616 25.1635 0 0.755788 0.000572893 17.3535 0.037098 0.050039 1.51943 1.09444 
63 0 8 0.0407023 3.5573 0.56115 0 47.5131 0 0.796195 6.17423e-05 37.6213 0.0303575 0.05393 1.99618 1.56112 
64 0 8 0.0390284 4.65034 0.501542 0 55.6964 0 0.572083 7.01376e-05 35.0718 0.0408217 0.0372239 2.33234 2.318 
65 0 9 0.030791 7.09186 0.481277 0.00586376 60.8527 0 0.537215 0.000313372 49.1388 0.0340038 0.02781 3.41315 3.67871 
66 0 9 0.0319081 7.26919 0.469063 0.00912563 95.0882 0 0.724729 0.0289573 130.252 0.0275207 0.0357842 3.40971 3.85948 
67 0 10 0.0171801 12.3529 0.700812 0 105.341 0 0.780312 1.99815e-05 184.169 0.0112879 0.030982 8.65706 3.69585 
68 0 10 0.0434162 14.5287 0.801797 0.116885 61.4031 0 0.636749 0.0165925 87.9424 0.045393 0.0354197 11.6491 2.87963 
69 0 10 0.0638586 17.0983 0.848674 0 123.479 0 0.814146 1.93402e-05 180.515 0.0292237 0.258101 14.5108 2.5874 
