1 0 10 -nan 0 -nan 0.00713651 100 0 -nan inf 0 -nan -nan 0 0 
2 0 10 -nan 0 -nan 0 76.9377 0 0.555556 0.0334651 180.74 -nan -nan 0 0 
3 0 10 -nan 0 -nan 0 76.9377 0 0.457512 0.030968 36.3509 -nan -nan 0 0 
4 0 10 0.00729 5.44357 1 0.00229568 76.9377 0 0.570568 0.0210488 58.5733 0.00729 -nan 5.44357 0 
5 0 10 0.0125271 7.7928 1 0.00158013 111.778 0 0.515271 0.0108302 205.276 0.0125271 -nan 7.7928 0 
6 0 10 0.0103741 24.384 0.909351 0.00323183 114.29 0 0.499391 0.0125125 171.943 0.0106891 0.00721404 22.1736 2.21039 
7 0 10 0.0145081 44.425 0.879339 0.0168991 106.689 0 0.585616 0.0332393 86.3377 0.0143579 0.0156025 39.0646 5.36039 
8 0 10 0.0465695 79.7749 0.671568 0.00260555 104.975 0 0.454357 0.00508369 379.759 0.0260558 0.0885154 53.5742 26.2006 
9 1 10 0.0272959 78.2514 0.66015 0.00355188 79.7077 1.19121 0.513232 0.0145377 129.386 0.0301012 0.0218465 51.6577 26.5937 
10 0 9 0.0344571 47.5173 0.534966 0.00474993 79.7934 0 0.391741 0.0151115 155.615 0.0318225 0.037488 25.4201 22.0971 
11 0 9 0.0534993 42.6523 0.524241 0.015899 74.7118 0 0.477494 0.0413787 146.322 0.0540665 0.0528743 22.3601 20.2922 
12 0 9 0.0434111 49.1926 0.57049 0.0152395 53.1329 0 0.549393 0.0540007 89.7452 0.0372887 0.0515431 28.0639 21.1287 
13 0 9 0.204552 22.5805 0.333905 0 114.324 0 0.285066 0.00256896 278.171 0.0350731 0.289509 7.53975 15.0408 
14 0 9 0.0487437 31.7488 0.378448 0.012925 114.611 0 0.495818 0.0121757 258.719 0.0466056 0.0500456 12.0152 19.7335 
15 0 9 0.0687126 31.5575 0.333866 0 136.91 0 0.265798 0.00161508 419.727 0.0507218 0.0777296 10.536 21.0215 
16 0 10 0.0298218 35.0529 0.342572 0.00199245 179.089 0 0.338548 0.00208293 387.657 0.0229596 0.0333976 12.0081 23.0448 
17 0 10 0.0325657 37.4203 0.318861 1.30993e-05 191.392 0 0.333001 0.001861 410.664 0.0336224 0.032071 11.9319 25.4884 
18 0 10 0.0382096 59.0216 0.495068 0.0362497 125.222 0 0.500063 0.0358851 257.753 0.0382875 0.0381332 29.2197 29.8019 
