1 0 10 -nan 0 -nan 0 100 0 -nan inf 0 -nan -nan 0 0 2.9998
40 0 10 0.00937117 102.045 0.780029 0 226.28 0 0.4327 0.000285789 252.861 0.00875327 0.0115623 79.5984 22.4471 2.9998
41 0 10 0.0110645 144.437 0.741605 0 213.747 0 0.523867 0.000326282 214.058 0.0109908 0.0112762 107.115 37.3218 2.9998
42 0 10 0.014546 156.824 0.642363 0 175.471 0 0.552028 0.000315224 165.842 0.0156802 0.0125089 100.738 56.086 2.9998
43 1 10 0.00759298 105.666 0.471302 0 189.292 7.22898 0.41549 0.000246867 162.04 0.00826066 0.00699779 49.8007 55.8656 2.9998
44 0 9 0.011238 102.56 0.452838 0 231.796 0 0.391021 0.000202344 211.571 0.00790502 0.0139964 46.443 56.1168 2.9998
45 0 9 0.0111957 105.629 0.46308 0 251.457 0 0.404136 0.00018624 240.487 0.0126396 0.00995037 48.9147 56.7144 2.9998
46 0 9 0.0107429 101.832 0.458062 0 369.511 0 0.356606 0.000145078 332.344 0.0102027 0.0111994 46.6452 55.1865 2.9998
47 0 9 0.00829055 110.96 0.413832 0 313.843 0 0.364706 0.000137352 319.38 0.00909419 0.00772319 45.9189 65.0413 2.9998
48 0 9 0.00813185 109.451 0.447518 0 317.284 0 0.382686 0.000126158 316.525 0.00470136 0.0109106 48.9811 60.4696 2.9998
49 0 9 0.00784779 107.411 0.420811 0 408.585 0 0.37328 9.53816e-05 425.193 0.00784106 0.00785269 45.1998 62.2114 2.9998
50 0 10 0.010741 110.683 0.415544 0 505.601 0 0.413427 8.4113e-05 544.569 0.0113238 0.0103267 45.9938 64.6897 2.9998
51 0 10 0.0139259 92.0187 0.537226 0 489.727 0 0.413399 7.80091e-05 543.725 0.0146117 0.0131298 49.4349 42.5839 2.9998
52 0 10 0.0148521 86.812 0.512587 1.29132e-05 331.292 0 0.42557 8.89303e-05 348.033 0.0215044 0.00785621 44.4987 42.3133 2.9998
53 0 10 0.00695547 83.0085 0.581694 0 402.569 0 0.395683 6.28272e-05 415.511 0.00740731 0.00632714 48.2856 34.723 2.9998
54 0 10 0.0119395 84.268 0.602129 0 321.029 0 0.414084 6.1021e-05 360.041 0.0156672 0.00629799 50.7402 33.5278 2.9998
55 0 10 0.0134321 85.5518 0.620462 0 265.152 0 0.418573 5.98243e-05 276.113 0.013207 0.0138 53.0817 32.4702 2.9998
56 0 10 0.0109819 89.8201 0.606975 0 282.855 0 0.413065 5.27398e-05 284.222 0.011386 0.0103579 54.5185 35.3015 2.9998
57 0 10 0.01453 108.74 0.557516 0 204.592 0 0.479366 5.53171e-05 209.538 0.0167805 0.0116945 60.6241 48.1156 2.9998
58 0 10 0.0128741 126.367 0.543434 0.000149017 145.665 0 0.581304 0.000113433 139.472 0.0136009 0.0120091 68.6719 57.6948 2.99978
59 0 10 0.01237 108.931 0.617174 0 121.755 0 0.515248 5.46595e-05 102.921 0.0125107 0.0121431 67.2294 41.7017 2.9998
60 0 10 0.0155459 129.16 0.435152 0.00114189 86.3258 0 0.454773 0.000139981 70.1851 0.0163334 0.0149393 56.204 72.9555 2.9996
61 4 10 0.016982 19.4632 0.783105 0 74.6238 20.1487 0.483846 4.6188e-05 59.8773 0.0187147 0.0107259 15.2417 4.22146 2.9998
62 0 6 0.0124506 16.7093 0.656589 0 79.6961 0 0.592745 4.32063e-05 58.6092 0.00866098 0.0196962 10.9711 5.73817 2.9998
63 0 6 0.019379 14.7839 0.72492 0 67.076 0 0.584925 4.35442e-05 47.4412 0.0228343 0.0102733 10.7171 4.06674 2.9998
64 0 6 0.0104198 14.4237 0.703004 0 70.2117 0 0.559251 3.68268e-05 49.0287 0.0051963 0.022784 10.1399 4.28378 2.9998
65 0 6 0.0261953 14.423 0.749341 0 74.3729 0 0.464837 2.52285e-05 66.9201 0.0294149 0.0165703 10.8078 3.61526 2.9998
66 0 6 0.0314847 14.0895 0.754185 0 83.0248 0 0.576283 2.32458e-05 77.9075 0.0336245 0.0249196 10.6261 3.4634 2.9998
67 0 6 0.0137965 15.668 0.733987 0 103.002 0 0.619346 2.03102e-05 111.741 0.0134019 0.0148852 11.5001 4.16788 2.9998
68 0 10 0.0199419 18.0929 0.747402 0 89.8999 0 0.624677 1.75222e-05 101.635 0.0200185 0.0197155 13.5227 4.57023 2.9998
69 0 10 0.0171347 29.3065 0.789838 0 106.707 0 0.634704 1.81332e-05 115.897 0.017179 0.0169685 23.1474 6.15911 2.9998
70 0 10 0.0122476 37.8462 0.774429 0 116.574 0 0.627355 1.64403e-05 128.219 0.0101105 0.0195846 29.3092 8.53703 2.9998
71 0 10 0.0194018 41.4626 0.854764 0 158.76 0 0.651611 1.62512e-05 185.236 0.0186152 0.0240311 35.4407 6.02186 2.9998
72 0 10 0.0226637 49.4625 0.779591 0 191.093 0 0.620504 1.41211e-05 227.523 0.0236639 0.0191259 38.5606 10.902 2.9998
73 0 10 0.0227888 59.5671 0.802563 0 149.345 0 0.644036 1.34617e-05 166.413 0.0227841 0.0228081 47.8063 11.7607 2.9998
