1 0 10 -nan 0 -nan 0.00713651 100 0 -nan inf 0 -nan -nan 0 0 
2 0 10 0.009 44.4444 1 0 125.508 0 0.511285 0.0290284 700.428 0.009 -nan 44.4444 0 
3 0 10 0.0081 176.724 0.746246 0 125.508 0 -nan inf 0 0.0081 0.0081 131.88 44.8444 
4 0 10 0.00742944 199.197 0.576328 0 125.508 0 -nan inf 0 0.00745966 0.00738833 114.803 84.3944 
5 1 10 0.00763018 128.844 0.609802 0.0020193 147.83 0 0.34101 0.0199575 119.566 0.00754139 0.00776893 78.5695 50.2748 
6 3 9 0.00667868 2.25569 1 0.0233253 123.547 42.7878 0.268929 0.016122 137.778 0.00667868 -nan 2.25569 0 
7 0 6 0.009 0.567252 1 0 190.685 0 0.227948 0.00707438 252.169 0.009 -nan 0.567252 0 
8 0 6 0.009 0.572357 1 0.00270245 206.755 0 0.196446 0.0062719 330.59 0.009 -nan 0.572357 0 
9 0 6 0.00585914 0.577509 1 0.0300936 181.044 0 0.204101 0.0114011 291.818 0.00585914 -nan 0.577509 0 
10 0 6 0.009 0.580892 1 0 361.632 0 0.187856 0.00502536 513.144 0.009 -nan 0.580892 0 
11 0 6 0.009 0.58612 1 0.0288437 331.265 0 0.203785 0.00917354 478.058 0.009 -nan 0.58612 0 
12 0 7 0.009 0.591395 1 0 428.569 0 0.270536 0.00561032 615.059 0.009 -nan 0.591395 0 
13 0 10 0.0600333 0.596718 1 0.00765936 436.114 0 0.268122 0.00599004 625.918 0.0600333 -nan 0.596718 0 
14 0 10 0.0599977 0.632541 1 0.0675426 281.953 0 0.30118 0.0147806 522.955 0.0599977 -nan 0.632541 0 
15 0 10 0.0600333 0.670492 1 0 513.861 0 0.303418 0.00370492 855.35 0.0600333 -nan 0.670492 0 
16 0 10 0.0599654 4.81322 0.852335 0.00464748 476.311 0 0.332741 0.0326888 822.83 0.0599654 0.0599654 4.10247 0.710744 
17 0 10 0.0602251 5.26158 0.856818 0.0456527 406.153 0 0.276812 0.0462203 576.622 0.0602769 0.0599153 4.50821 0.753364 
18 2 10 0.0334048 16.3186 0.634049 0.00561715 160.359 0.169305 0.403629 0.00673494 213.524 0.0289982 0.0410397 10.3468 5.97181 
